time UTC [yyyymmddHHMM]; temperature [deg]; relative humidity [%]; wind speed [m/s]; wind direction [deg]; global radiation [W/m^2]
201601010000;3.9;97.1;2.2;267;0
201601010100;4.0;97.7;2.2;282;0
201601010200;3.9;98.5;2.6;291;0
201601010300;3.4;99.2;2.2;293;0
201601010400;3.0;99.5;2.2;284;0
201601010500;2.6;99.4;1.6;232;0
201601010600;1.2;99.6;1.6;240;0
201601010700;-0.1;99.6;1.5;205;0
201601010800;-0.3;99.7;1.8;219;27
201601010900;0.1;99.4;1.4;161;111
201601011000;1.8;99.2;1.6;109;147
201601011100;3.8;97.2;1.3;126;273
201601011200;4.8;93.0;1.7;133;268
201601011300;4.2;98.2;1.9;103;201
201601011400;4.2;94.8;2.2;67;21
201601011500;3.1;100.0;1.9;96;8
201601011600;2.8;100.0;1.6;77;0
201601011700;2.5;100.0;3.1;73;0
201601011800;2.1;100.0;2.4;113;0
201601011900;1.9;100.0;2.7;116;0
201601012000;2.3;96.8;3.0;122;0
201601012100;2.3;97.3;2.7;127;0
201601012200;2.2;96.6;3.0;125;0
201601012300;1.6;98.7;3.2;133;0
201601020000;2.1;97.1;2.4;128;0
201601020100;2.0;96.1;3.3;127;0
201601020200;2.2;94.1;3.1;134;0
201601020300;1.7;96.0;2.5;137;0
201601020400;1.7;95.5;2.9;131;0
201601020500;2.2;95.4;3.2;144;0
201601020600;2.7;94.6;2.4;180;0
201601020700;2.8;95.6;2.6;189;0
201601020800;3.0;95.3;3.1;138;8
201601020900;3.3;95.3;3.2;122;19
201601021000;3.7;96.3;2.9;142;27
201601021100;4.2;96.7;2.5;128;31
201601021200;5.0;96.1;2.8;186;30
201601021300;5.4;95.9;2.5;220;26
201601021400;6.0;94.2;2.2;226;17
201601021500;5.8;96.9;2.5;284;6
201601021600;5.4;97.3;3.4;286;0
201601021700;5.2;97.4;2.9;275;0
201601021800;5.0;97.6;2.8;249;0
201601021900;4.7;97.8;2.3;240;0
201601022000;4.4;97.8;2.6;260;0
201601022100;4.4;97.7;2.4;270;0
201601022200;4.3;97.2;2.3;278;0
201601022300;4.1;97.2;1.9;256;0
201601030000;3.9;97.1;2.3;266;0
201601030100;3.7;95.6;2.0;243;0
201601030200;3.2;97.2;2.3;240;0
201601030300;3.7;97.0;1.8;222;0
201601030400;3.9;96.5;2.1;241;0
201601030500;3.8;96.9;1.6;219;0
201601030600;3.6;97.0;2.4;217;0
201601030700;3.7;97.2;2.4;211;0
201601030800;3.6;95.7;2.1;206;8
201601030900;3.8;96.4;2.5;210;20
201601031000;4.6;93.8;2.1;203;155
201601031100;5.2;83.3;3.2;201;33
201601031200;5.0;81.8;3.0;208;119
201601031300;5.2;74.8;2.6;210;26
201601031400;5.1;74.7;2.0;182;17
201601031500;4.4;78.4;2.2;163;6
201601031600;2.6;89.7;2.0;152;0
201601031700;2.0;91.2;2.3;157;0
201601031800;1.6;90.4;2.4;154;0
201601031900;1.6;92.9;2.8;149;0
201601032000;1.9;89.9;3.1;161;0
201601032100;1.9;90.3;3.7;136;0
201601032200;2.0;89.8;3.7;131;0
201601032300;1.3;93.4;3.9;137;0
201601040000;0.9;95.3;4.0;138;0
201601040100;0.7;95.3;4.0;143;0
201601040200;0.9;94.9;4.8;175;0
201601040300;1.1;93.9;6.5;195;0
201601040400;1.2;94.6;5.2;212;0
201601040500;1.3;94.9;4.6;214;0
201601040600;1.4;94.2;4.7;236;0
201601040700;1.6;93.4;4.3;241;0
201601040800;1.7;94.0;5.3;256;14
201601040900;1.9;92.5;5.6;242;58
201601041000;2.8;89.9;5.5;241;212
201601041100;4.1;85.7;5.5;233;74
201601041200;4.6;86.1;5.6;228;33
201601041300;4.6;86.7;5.7;227;27
201601041400;4.2;86.9;5.8;224;27
201601041500;4.0;88.4;4.8;224;8
201601041600;3.5;89.3;4.2;238;0
201601041700;3.0;89.8;3.9;229;0
201601041800;1.7;92.6;3.5;223;0
