time UTC [yyyymmddHHMM]; temperature [deg]; relative humidity [%]; wind speed [m/s]; wind direction [deg]; global radiation [W/m^2]
201601050400;2.3;94.6;1.9;208;0
201601050500;2.2;94.2;2.0;206;0
201601050600;1.8;94.8;2.2;211;0
201601050700;1.4;94.8;2.3;214;0
201601050800;1.9;92.1;2.3;208;20
201601050900;2.9;90.9;2.2;214;38
201601051000;4.1;85.8;3.0;211;203
201601051100;5.1;83.6;3.2;209;63
201601051200;5.3;83.6;3.2;221;37
201601051300;5.4;83.7;3.3;222;192
201601051400;5.5;82.5;2.9;222;48
201601051500;5.3;81.5;2.9;208;6
201601051600;4.8;84.4;3.1;197;0
201601051700;4.6;86.7;2.6;218;0
201601051800;4.4;86.6;2.2;213;0
201601051900;4.2;86.3;3.2;227;0
201601052000;4.0;86.5;2.7;226;0
201601052100;3.4;88.7;2.5;228;0
201601052200;3.0;88.4;2.3;216;0
201601052300;3.2;88.2;2.4;214;0
201601060000;3.1;88.0;2.2;217;0
201601060100;2.7;89.4;2.1;217;0
201601060200;2.2;89.2;2.0;220;0
201601060300;2.2;90.2;2.1;211;0
201601060400;1.8;92.1;2.2;218;0
201601060500;2.3;90.6;1.6;205;0
201601060600;2.4;89.9;1.7;183;0
201601060700;2.5;89.6;2.0;189;0
201601060800;2.5;89.0;2.0;200;9
201601060900;3.0;88.3;1.4;202;19
201601061000;3.5;88.3;1.4;208;27
201601061100;3.7;89.6;2.0;211;32
201601061200;3.9;87.8;2.3;232;31
201601061300;4.3;87.3;2.7;238;26
201601061400;4.1;88.1;2.4;244;18
201601061500;3.9;88.9;2.1;249;6
201601061600;3.6;90.9;2.0;240;0
201601061700;3.1;92.9;1.8;239;0
201601061800;2.8;94.4;1.5;222;0
201601061900;2.4;95.2;1.2;205;0
201601062000;2.1;95.2;1.0;191;0
201601062100;2.1;95.2;0.9;214;0
201601062200;2.2;95.2;1.1;203;0
201601062300;2.4;96.0;1.3;216;0
201601070000;2.5;96.1;1.9;218;0
201601070100;2.5;95.1;1.3;221;0
201601070200;1.9;96.2;1.5;215;0
201601070300;1.8;96.1;1.1;211;0
201601070400;1.2;96.2;1.2;182;0
201601070500;1.5;96.1;1.7;151;0
201601070600;1.2;95.2;1.7;152;0
201601070700;1.3;94.4;1.9;146;0
201601070800;1.3;94.1;2.4;165;24
201601070900;1.7;93.0;2.3;163;130
201601071000;3.1;87.8;3.2;150;27
201601071100;3.6;86.7;3.2;150;31
201601071200;3.6;85.7;2.8;158;31
201601071300;3.1;87.1;3.4;160;26
201601071400;2.3;91.6;4.5;158;18
201601071500;2.2;92.5;4.0;182;7
201601071600;2.6;92.3;3.9;213;0
201601071700;2.9;92.4;4.4;242;0
201601071800;3.4;92.4;3.3;245;0
201601071900;5.1;83.3;5.1;251;0
201601072000;5.4;78.5;5.4;252;0
201601072100;4.8;76.7;5.7;256;0
201601072200;4.3;78.6;5.4;246;0
201601072300;3.8;83.4;4.8;242;0
201601080000;4.7;78.2;4.3;242;0
201601080100;4.6;79.1;3.8;249;0
201601080200;4.3;78.8;3.3;228;0
201601080300;3.9;79.3;3.4;231;0
201601080400;4.1;78.3;3.4;242;0
201601080500;4.3;74.5;3.0;243;0
201601080600;2.5;84.9;3.1;237;0
201601080700;1.5;89.9;3.2;244;0
201601080800;1.3;92.2;2.2;210;50
201601080900;2.9;89.6;1.7;220;178
201601081000;4.3;82.2;1.1;211;33
201601081100;4.7;82.2;1.0;173;32
201601081200;5.4;80.1;2.4;142;31
201601081300;5.7;79.3;1.6;156;26
201601081400;5.7;79.3;1.5;139;18
201601081500;5.3;83.5;0.8;143;7
201601081600;4.4;86.5;1.7;142;0
201601081700;4.1;86.9;1.8;143;0
201601081800;4.0;88.0;2.1;167;0
201601081900;3.6;89.5;1.9;166;0
201601082000;3.6;90.5;1.6;187;0
201601082100;3.4;92.5;1.1;194;0
201601082200;3.1;94.6;0.9;199;0
201601082300;3.0;94.9;0.8;258;0
201601090000;2.3;96.4;0.6;289;0
201601090100;2.4;97.4;0.8;242;0
201601090200;2.6;97.3;0.8;12;0
201601090300;2.8;97.3;0.5;162;0
201601090400;2.9;97.2;0.4;176;0
201601090500;3.1;96.7;0.4;144;0
201601090600;3.3;96.7;0.6;171;0
201601090700;3.3;97.1;0.7;137;0
201601090800;3.1;97.6;0.4;145;9
201601090900;3.6;97.7;0.5;150;20
201601091000;4.5;97.0;1.6;202;28
201601091100;5.3;94.4;1.9;211;32
201601091200;5.5;94.5;1.9;221;31
201601091300;6.3;93.0;2.3;220;27
201601091400;6.7;91.7;2.5;208;18
201601091500;6.8;90.4;2.2;213;7
201601091600;6.4;92.3;1.7;210;0
201601091700;6.0;93.7;1.8;220;0
201601091800;5.8;94.7;1.6;209;0
201601091900;4.1;95.5;1.8;172;0
201601092000;3.8;96.4;1.0;175;0
201601092100;3.1;95.8;1.9;158;0
201601092200;3.4;95.5;1.7;215;0
201601092300;3.6;95.6;1.7;190;0
201601100000;3.8;94.4;2.1;179;0
201601100100;3.9;95.2;1.9;176;0
201601100200;3.5;96.9;2.3;175;0
201601100300;3.8;96.7;2.1;194;0
201601100400;4.7;91.9;2.1;196;0
201601100500;4.1;91.9;1.9;198;0
201601100600;5.3;88.5;3.5;236;0
201601100700;4.9;89.2;3.7;216;0
201601100800;5.0;90.3;4.0;204;9
201601100900;5.4;85.8;3.7;207;20
201601101000;5.6;84.2;4.5;206;28
201601101100;6.0;83.6;3.7;212;32
201601101200;6.5;81.9;4.1;209;32
201601101300;6.6;80.9;3.0;212;27
201601101400;6.6;81.1;3.2;181;18
201601101500;6.1;82.9;3.1;173;7
201601101600;5.5;86.2;2.9;162;0
201601101700;4.7;90.2;3.6;171;0
201601101800;4.4;88.6;3.9;195;0
201601101900;4.0;90.9;4.1;198;0
201601102000;4.1;91.1;2.9;197;0
201601102100;4.1;92.1;3.3;223;0
201601102200;4.4;91.8;3.5;219;0
201601102300;4.5;91.2;3.2;220;0
201601110000;4.1;91.7;2.9;214;0
201601110100;4.4;90.7;2.8;197;0
201601110200;4.1;90.5;2.0;193;0
201601110300;4.1;91.3;2.3;193;0
201601110400;4.2;90.1;2.6;178;0
201601110500;3.9;92.4;3.0;158;0
201601110600;3.0;92.7;2.5;152;0
201601110700;2.3;94.0;1.8;156;0
201601110800;1.3;95.1;2.9;169;9
201601110900;1.1;95.9;2.5;169;20
201601111000;1.3;95.6;2.6;214;28
201601111100;2.3;94.6;2.9;223;33
201601111200;2.7;92.6;3.4;220;32
201601111300;3.7;90.8;3.0;226;27
201601111400;4.4;89.2;4.4;212;18
201601111500;5.0;85.8;5.0;200;7
201601111600;5.0;83.7;6.6;222;0
201601111700;4.9;80.6;5.1;225;0
201601111800;4.6;84.2;4.7;225;0
201601111900;4.4;85.8;5.6;221;0
201601112000;4.1;87.1;6.7;224;0
201601112100;3.6;88.2;6.6;233;0
201601112200;3.4;87.9;6.5;227;0
201601112300;3.5;85.5;5.5;221;0
201601120000;3.4;86.9;4.7;222;0
201601120100;3.5;87.2;4.9;218;0
201601120200;3.4;88.9;6.4;225;0
201601120300;3.6;86.2;6.4;227;0
201601120400;3.5;85.5;6.1;232;0
201601120500;3.5;86.7;6.8;233;0
201601120600;3.3;86.6;4.5;243;0
201601120700;2.8;89.0;4.3;245;0
201601120800;2.8;88.5;4.9;235;10
201601120900;3.4;85.9;5.2;237;25
201601121000;3.5;86.2;6.3;236;230
201601121100;4.5;84.4;6.4;242;229
201601121200;5.1;81.1;6.0;240;123
201601121300;4.9;84.0;5.9;242;177
201601121400;4.9;82.5;6.3;236;21
201601121500;3.9;88.7;5.4;239;8
201601121600;3.2;89.4;5.2;232;0
201601121700;3.1;88.9;5.3;231;0
201601121800;3.5;87.0;5.1;237;0
201601121900;3.0;88.1;4.7;240;0
201601122000;2.6;85.7;4.7;243;0
201601122100;2.4;82.6;4.7;237;0
201601122200;2.4;84.0;5.5;239;0
201601122300;2.3;84.8;5.9;236;0
201601130000;2.2;84.3;5.9;234;0
201601130100;2.3;82.7;5.6;224;0
201601130200;2.1;85.4;5.8;234;0
201601130300;1.5;92.2;6.4;234;0
201601130400;2.0;90.6;6.7;233;0
201601130500;1.9;91.4;7.7;231;0
201601130600;1.8;91.9;7.1;236;0
201601130700;2.0;91.0;7.6;241;0
201601130800;2.1;90.9;8.2;243;10
201601130900;2.0;92.4;8.0;246;21
201601131000;2.6;88.7;8.0;247;43
201601131100;2.9;86.8;7.5;242;148
201601131200;3.0;86.7;7.5;251;94
201601131300;3.1;85.6;6.1;246;29
201601131400;2.8;87.7;5.7;247;19
201601131500;2.3;92.6;5.4;241;8
201601131600;2.1;92.6;5.0;237;0
201601131700;1.8;93.0;4.6;237;0
201601131800;1.8;92.3;4.5;241;0
201601131900;1.6;89.0;4.6;237;0
201601132000;1.2;86.9;3.7;228;0
201601132100;1.1;88.9;3.5;229;0
201601132200;1.0;89.4;2.7;226;0
201601132300;0.6;90.8;2.4;221;0
201601140000;0.1;91.7;1.7;227;0
201601140100;0.5;89.4;1.7;235;0
201601140200;-0.1;91.6;1.8;216;0
201601140300;-0.7;92.5;1.9;228;0
201601140400;-1.1;92.4;1.4;206;0
201601140500;-1.1;91.9;1.5;167;0
201601140600;-1.6;92.8;1.4;176;0
201601140700;-1.7;92.2;1.7;171;0
201601140800;-1.9;92.4;1.6;187;89
201601140900;-1.0;89.3;1.8;165;194
201601141000;0.5;81.2;1.9;168;268
201601141100;1.9;73.7;3.3;171;306
201601141200;2.7;68.9;2.5;155;302
201601141300;3.0;65.6;3.2;166;253
201601141400;3.2;62.0;3.6;186;19
201601141500;2.2;68.4;2.5;217;8
201601141600;1.5;74.1;3.7;218;0
201601141700;1.3;78.4;4.3;226;0
201601141800;0.8;90.3;4.1;238;0
201601141900;0.7;93.2;4.8;241;0
201601142000;1.1;88.0;4.3;242;0
201601142100;0.9;88.6;3.9;238;0
201601142200;0.8;87.6;5.4;247;0
201601142300;0.6;90.6;5.4;244;0
201601150000;0.7;89.7;4.6;227;0
201601150100;0.6;90.1;4.4;237;0
201601150200;0.1;96.2;5.0;238;0
201601150300;0.1;90.5;5.7;246;0
201601150400;-0.6;81.0;6.1;241;0
201601150500;-0.7;81.0;6.4;235;0
201601150600;-1.0;88.2;6.5;235;0
201601150700;-1.2;93.6;6.7;231;0
201601150800;-1.0;95.6;6.7;237;10
201601150900;-0.8;92.8;6.9;240;21
201601151000;-0.5;86.2;7.5;240;29
201601151100;-0.6;86.0;7.4;244;33
201601151200;-1.1;90.1;6.5;242;33
201601151300;-0.7;88.1;8.1;245;28
201601151400;-0.4;85.5;7.7;245;19
201601151500;-0.6;89.4;7.7;244;8
201601151600;-0.4;87.1;6.3;244;0
201601151700;-0.8;93.3;5.5;236;0
201601151800;-0.5;91.0;5.1;241;0
201601151900;-0.5;90.8;5.3;246;0
201601152000;-0.5;91.4;4.2;253;0
201601152100;-0.6;92.5;3.6;253;0
201601152200;-0.6;93.9;3.7;273;0
201601152300;-0.6;94.4;3.7;284;0
201601160000;-0.5;94.2;2.8;285;0
201601160100;-0.5;94.8;2.8;294;0
201601160200;-0.5;93.4;3.3;300;0
201601160300;-0.6;92.9;2.9;312;0
201601160400;-0.6;92.5;2.5;291;0
201601160500;-0.8;93.0;2.9;307;0
201601160600;-0.9;92.7;3.1;310;0
201601160700;-1.4;93.7;1.9;291;0
201601160800;-1.4;93.9;2.4;282;13
201601160900;-0.9;92.2;1.8;285;25
201601161000;-0.9;88.7;2.3;265;31
201601161100;-0.1;84.2;2.9;258;34
201601161200;0.3;80.5;3.8;258;33
201601161300;0.2;81.1;3.9;248;28
201601161400;-0.3;90.5;5.2;249;20
201601161500;-0.1;89.9;5.5;247;13
201601161600;-0.1;88.2;5.8;254;0
201601161700;-0.6;83.1;6.1;261;0
201601161800;-0.5;82.6;6.1;255;0
201601161900;-0.4;83.5;6.5;264;0
201601162000;-0.7;78.4;6.0;274;0
201601162100;-1.1;78.0;5.3;269;0
201601162200;-1.2;80.6;4.7;268;0
201601162300;-1.4;81.7;4.7;272;0
201601170000;-1.9;85.3;3.7;264;0
201601170100;-1.8;84.3;3.2;259;0
201601170200;-1.8;87.4;5.1;264;0
201601170300;-1.8;90.5;4.6;263;0
201601170400;-2.2;94.6;3.6;255;0
201601170500;-2.3;96.8;3.7;253;0
201601170600;-2.1;94.8;3.1;256;0
201601170700;-2.0;92.0;3.5;263;0
201601170800;-2.0;87.8;4.2;272;28
201601170900;-2.4;92.3;6.1;297;29
201601171000;-2.3;86.1;5.7;296;30
201601171100;-2.3;88.1;5.4;310;37
201601171200;-2.2;80.3;4.2;310;35
201601171300;-2.3;78.5;4.7;305;39
201601171400;-2.4;86.7;3.4;322;42
201601171500;-3.3;88.1;2.9;302;33
201601171600;-3.9;92.5;2.7;310;0
201601171700;-4.0;93.7;2.5;291;0
201601171800;-3.8;91.8;2.0;302;0
201601171900;-4.5;90.6;1.1;328;0
201601172000;-4.9;94.4;1.1;341;0
201601172100;-4.9;94.4;0.9;3;0
201601172200;-6.0;97.2;0.7;212;0
201601172300;-6.9;95.1;1.0;39;0
201601180000;-6.5;94.3;0.6;324;0
201601180100;-6.7;95.4;0.8;180;0
201601180200;-6.2;92.6;0.9;155;0
201601180300;-5.9;92.9;1.1;108;0
201601180400;-7.1;93.4;1.7;127;0
201601180500;-7.6;94.5;1.1;101;0
201601180600;-10.2;99.2;0.7;99;0
201601180700;-11.4;100.0;1.4;98;0
201601180800;-11.6;100.0;1.9;127;37
201601180900;-9.2;92.8;2.7;102;204
201601181000;-7.6;89.8;2.0;102;269
201601181100;-6.4;86.8;1.6;93;249
201601181200;-5.2;76.6;2.9;98;163
201601181300;-4.8;76.7;2.9;97;132
201601181400;-4.8;75.4;2.5;88;168
201601181500;-5.4;78.4;2.6;91;10
201601181600;-7.4;85.7;2.9;93;0
201601181700;-8.0;89.1;1.8;114;0
201601181800;-9.7;94.2;1.7;121;0
201601181900;-9.4;93.7;1.6;111;0
201601182000;-10.3;98.0;2.1;119;0
201601182100;-11.1;100.0;2.0;117;0
201601182200;-11.7;100.0;1.6;90;0
201601182300;-11.8;100.0;1.3;94;0
201601190000;-12.7;100.0;1.5;183;0
201601190100;-11.9;100.0;1.1;196;0
201601190200;-12.2;100.0;1.1;247;0
201601190300;-11.6;100.0;0.8;240;0
201601190400;-10.8;97.8;1.1;241;0
201601190500;-9.8;93.9;1.1;56;0
201601190600;-8.8;93.1;0.7;29;0
201601190700;-7.7;93.8;1.0;73;0
201601190800;-7.2;93.7;1.2;237;32
201601190900;-6.1;93.9;1.1;265;24
201601191000;-5.4;92.4;1.4;96;31
201601191100;-4.5;91.6;0.9;138;35
201601191200;-3.3;85.2;0.8;220;34
201601191300;-2.6;79.1;1.1;252;30
201601191400;-1.7;79.3;1.2;269;122
201601191500;-2.2;81.9;1.2;290;10
201601191600;-3.1;85.4;1.3;332;0
201601191700;-3.1;87.5;1.3;295;0
201601191800;-3.4;87.3;1.2;299;0
201601191900;-3.4;88.2;1.0;293;0
201601192000;-3.4;89.7;1.3;341;0
201601192100;-3.7;91.9;1.1;322;0
201601192200;-4.4;93.8;1.0;322;0
201601192300;-4.3;93.7;1.3;316;0
201601200000;-6.8;94.2;1.1;344;0
201601200100;-6.4;96.3;1.1;307;0
201601200200;-6.6;96.1;1.0;321;0
201601200300;-7.1;96.1;1.1;329;0
201601200400;-8.4;97.2;0.5;17;0
201601200500;-8.7;96.6;1.2;271;0
201601200600;-6.5;97.1;1.1;2;0
201601200700;-7.4;95.9;1.2;19;0
201601200800;-7.3;96.2;1.0;80;36
201601200900;-6.2;95.3;0.7;86;202
201601201000;-5.1;93.5;1.0;67;221
201601201100;-4.0;91.6;0.9;53;312
201601201200;-2.6;85.9;1.1;109;312
201601201300;-2.3;85.2;1.0;77;270
201601201400;-1.5;77.1;1.1;41;193
201601201500;-2.3;80.4;1.0;114;74
201601201600;-3.5;85.6;0.7;19;0
201601201700;-4.8;91.4;1.2;260;0
201601201800;-4.1;89.6;1.1;237;0
201601201900;-5.1;90.4;0.8;300;0
201601202000;-5.2;90.6;1.1;354;0
201601202100;-5.1;92.0;1.4;267;0
201601202200;-4.7;92.3;0.9;260;0
201601202300;-4.6;94.3;1.6;308;0
201601210000;-4.4;93.9;1.8;207;0
201601210100;-4.1;92.2;1.7;250;0
201601210200;-4.3;92.7;1.2;243;0
201601210300;-4.7;93.4;1.1;253;0
201601210400;-4.2;92.7;1.3;301;0
201601210500;-4.4;92.9;1.1;307;0
201601210600;-4.0;93.2;1.3;145;0
201601210700;-3.9;93.9;0.7;93;0
201601210800;-3.6;92.9;0.6;126;53
201601210900;-2.8;90.0;0.7;109;25
201601211000;-2.1;88.5;0.5;101;38
201601211100;-0.4;80.1;1.0;67;136
201601211200;-0.1;80.1;1.3;73;310
201601211300;0.1;78.8;1.8;66;271
201601211400;0.4;77.3;2.5;74;196
201601211500;-0.1;79.0;2.5;73;24
201601211600;-1.2;82.3;1.8;69;0
201601211700;-3.1;92.1;1.6;82;0
201601211800;-4.5;95.0;1.6;87;0
201601211900;-5.6;92.6;0.9;101;0
201601212000;-4.5;93.6;1.6;100;0
201601212100;-6.6;94.2;1.3;97;0
201601212200;-5.7;96.1;1.2;111;0
201601212300;-7.5;95.1;1.2;123;0
201601220000;-7.7;95.6;1.2;165;0
201601220100;-9.5;96.9;1.1;131;0
201601220200;-9.1;97.9;1.8;148;0
201601220300;-8.5;97.3;1.8;239;0
201601220400;-9.0;96.9;1.9;170;0
201601220500;-9.2;97.4;1.7;172;0
201601220600;-7.9;98.3;1.6;139;0
201601220700;-7.8;100.0;1.2;170;0
201601220800;-6.6;98.8;1.1;188;106
201601220900;-5.8;97.8;1.4;141;215
201601221000;-4.5;95.5;1.7;154;136
201601221100;-3.0;89.9;1.7;137;293
201601221200;-1.5;82.3;1.5;124;325
201601221300;-0.2;76.9;1.7;152;280
201601221400;0.3;77.0;1.4;146;199
201601221500;0.4;78.3;1.7;160;51
201601221600;-1.5;88.3;1.4;185;0
201601221700;-2.2;90.0;1.5;180;0
201601221800;-3.8;92.9;1.5;220;0
201601221900;-3.1;93.2;2.4;200;0
201601222000;-2.8;92.8;2.8;210;0
201601222100;-2.4;93.1;2.4;224;0
201601222200;-2.2;91.7;1.3;199;0
201601222300;-1.3;89.6;1.8;231;0
201601230000;-0.5;93.5;2.1;218;0
201601230100;0.4;95.2;2.9;217;0
201601230200;1.1;96.6;2.8;249;0
201601230300;1.6;96.7;3.3;231;0
201601230400;2.4;95.7;3.4;252;0
201601230500;3.3;94.6;4.8;257;0
201601230600;3.5;95.4;3.9;271;0
201601230700;3.7;95.7;4.6;254;0
201601230800;3.6;95.6;3.1;261;53
201601230900;3.8;92.9;3.4;257;50
201601231000;4.3;90.3;2.7;261;62
201601231100;4.4;88.9;2.9;265;43
201601231200;4.5;88.9;2.4;254;135
201601231300;4.7;87.4;3.2;246;34
201601231400;4.8;87.9;3.9;241;23
201601231500;4.9;87.0;3.4;252;31
201601231600;3.4;93.2;2.2;255;0
201601231700;2.6;96.1;2.9;266;0
201601231800;2.9;95.9;2.4;255;0
201601231900;2.3;96.7;1.4;209;0
201601232000;1.3;98.3;1.2;195;0
201601232100;0.7;98.7;1.0;202;0
201601232200;-0.2;100.0;1.3;224;0
201601232300;-0.7;100.0;0.9;226;0
201601240000;-0.9;100.0;1.6;205;0
201601240100;-1.5;100.0;1.2;171;0
201601240200;-2.5;100.0;0.9;243;0
201601240300;-2.5;100.0;1.4;179;0
201601240400;-3.3;100.0;1.3;220;0
201601240500;-2.6;100.0;1.7;242;0
201601240600;-2.3;100.0;1.2;206;0
201601240700;-1.9;100.0;1.1;229;0
201601240800;-1.5;100.0;1.9;217;13
201601240900;-0.4;100.0;1.8;190;24
201601241000;0.6;98.9;1.0;242;32
201601241100;1.9;96.0;1.2;254;36
201601241200;2.9;92.5;1.7;238;36
201601241300;4.0;86.0;1.8;228;34
201601241400;4.6;84.2;1.8;237;195
201601241500;5.1;80.9;1.1;263;17
201601241600;4.5;83.4;1.5;244;0
201601241700;3.8;84.6;1.4;243;0
201601241800;3.5;83.5;1.2;240;0
201601241900;4.0;80.9;1.7;215;0
201601242000;3.9;81.1;1.8;253;0
201601242100;3.3;86.3;1.5;252;0
201601242200;3.6;84.6;1.5;234;0
201601242300;2.9;86.7;1.4;250;0
201601250000;2.8;91.5;1.1;265;0
201601250100;3.0;90.1;1.2;226;0
201601250200;2.7;93.6;1.3;270;0
201601250300;2.3;94.7;1.3;218;0
201601250400;1.9;96.9;1.4;220;0
201601250500;1.7;97.8;1.2;287;0
201601250600;1.2;98.3;1.4;343;0
201601250700;0.7;98.3;1.6;220;0
201601250800;1.1;99.7;1.1;188;77
201601250900;3.1;91.7;1.0;143;210
201601251000;5.1;87.9;1.0;101;301
201601251100;7.9;73.7;1.3;76;340
201601251200;9.2;69.6;1.0;90;337
201601251300;10.0;63.2;1.4;175;290
201601251400;10.5;60.1;1.3;228;208
201601251500;10.1;67.5;1.2;180;88
201601251600;8.4;71.9;1.5;177;0
201601251700;6.8;73.8;1.4;214;0
201601251800;5.3;80.9;1.6;222;0
201601251900;4.5;80.1;1.8;224;0
201601252000;3.4;84.2;1.8;217;0
201601252100;3.5;84.4;1.6;225;0
201601252200;3.1;80.6;1.6;248;0
201601252300;3.1;78.9;1.8;258;0
201601260000;3.1;78.8;2.1;235;0
201601260100;3.2;76.7;1.2;251;0
201601260200;1.5;88.3;1.9;250;0
201601260300;1.5;87.7;1.6;269;0
201601260400;2.5;86.2;2.3;233;0
201601260500;3.9;77.5;2.0;220;0
201601260600;4.2;80.1;2.2;226;0
201601260700;3.8;83.7;1.5;209;0
201601260800;2.9;89.3;1.5;246;19
201601260900;5.4;81.1;1.9;222;213
201601261000;7.1;79.3;2.0;220;305
201601261100;10.3;67.8;3.0;211;344
201601261200;12.5;62.5;3.0;233;340
201601261300;13.8;58.1;3.5;240;294
201601261400;14.5;55.5;4.0;234;211
201601261500;13.8;57.5;3.9;223;89
201601261600;12.1;62.7;2.8;224;0
201601261700;9.9;70.0;3.6;247;0
201601261800;10.1;70.4;2.3;235;0
201601261900;9.5;71.9;2.6;235;0
201601262000;9.5;72.4;2.6;239;0
201601262100;8.3;76.9;2.7;223;0
201601262200;7.8;78.1;2.8;232;0
201601262300;7.0;80.7;2.9;244;0
201601270000;7.4;81.0;2.7;241;0
201601270100;7.0;82.1;3.3;232;0
201601270200;7.1;83.9;2.7;217;0
201601270300;8.0;82.0;3.2;228;0
201601270400;8.3;82.9;3.0;229;0
201601270500;8.1;84.4;3.6;239;0
201601270600;8.4;83.4;4.0;227;0
201601270700;8.6;83.2;3.8;211;1
201601270800;8.6;83.1;3.7;226;14
201601270900;9.0;81.2;3.5;221;25
201601271000;9.8;78.4;4.1;221;33
201601271100;11.0;72.4;4.4;223;38
201601271200;11.7;62.9;4.5;226;37
201601271300;11.4;67.3;4.0;220;32
201601271400;11.3;66.1;4.1;212;23
201601271500;11.2;65.7;3.7;230;11
201601271600;11.2;64.9;3.7;230;0
201601271700;11.3;64.3;3.3;232;0
201601271800;11.1;65.1;3.5;233;0
201601271900;11.7;61.5;3.3;238;0
201601272000;11.5;61.5;4.1;238;0
201601272100;12.0;58.9;3.6;238;0
201601272200;11.5;61.1;3.3;237;0
201601272300;10.2;66.8;3.0;232;0
201601280000;10.8;65.7;2.3;220;0
201601280100;10.6;65.4;2.9;231;0
