time UTC [yyyymmddHHMM]; temperature [deg]; relative humidity [%]; wind speed [m/s]; wind direction [deg]; global radiation [W/m^2]
201601010000;3.8;98.1;1.4;264;0
201601010100;4.1;98.5;1.5;278;0
201601010200;3.9;99.0;1.9;288;0
201601010300;3.6;99.7;1.4;294;0
201601010400;3.2;99.9;1.8;284;0
201601010500;2.8;99.8;0.9;229;0
201601010600;1.4;100.0;1.1;237;0
201601010700;0.4;100.0;1.2;201;0
201601010800;0.4;100.0;1.4;226;26
201601010900;0.8;99.9;1.0;160;156
201601011000;1.9;99.6;1.4;102;96
201601011100;3.8;97.7;1.0;124;266
201601011200;4.5;95.7;1.4;133;255
201601011300;4.1;100.0;1.7;96;132
201601011400;4.3;97.6;1.9;64;40
201601011500;3.5;100.0;1.6;90;8
201601011600;3.1;100.0;1.2;75;0
201601011700;2.8;100.0;2.5;74;0
201601011800;2.5;100.0;1.7;112;0
201601011900;2.2;100.0;1.8;116;0
201601012000;2.5;97.2;2.2;121;0
201601012100;2.7;97.2;1.9;126;0
201601012200;2.7;96.7;2.0;122;0
201601012300;1.9;99.3;2.3;128;0
201601020000;2.6;97.4;1.6;126;0
201601020100;2.5;96.7;2.5;125;0
201601020200;2.6;94.2;2.4;128;0
201601020300;2.1;96.3;1.8;131;0
201601020400;2.0;96.3;2.0;126;0
201601020500;2.5;95.8;2.3;140;0
201601020600;3.0;94.6;1.5;173;0
201601020700;3.1;95.8;1.6;180;0
201601020800;3.3;95.5;2.2;134;8
201601020900;3.6;95.0;2.3;113;19
201601021000;4.0;96.1;2.0;129;27
201601021100;4.5;96.6;2.0;110;31
201601021200;5.3;96.1;2.2;160;30
201601021300;5.7;95.6;2.1;159;25
201601021400;6.2;93.8;1.7;203;17
201601021500;6.0;96.5;1.9;289;6
201601021600;5.6;97.0;2.5;283;0
201601021700;5.5;97.0;2.0;273;0
201601021800;5.2;97.4;1.8;232;0
201601021900;5.0;97.5;1.5;217;0
201601022000;4.9;97.7;1.6;257;0
201601022100;4.5;97.6;1.4;272;0
201601022200;4.7;97.4;1.3;276;0
201601022300;4.5;97.2;1.1;252;0
201601030000;4.2;97.2;1.1;267;0
201601030100;4.1;95.3;1.3;243;0
201601030200;3.5;96.8;1.6;238;0
201601030300;4.1;96.5;1.2;220;0
201601030400;4.2;96.1;1.4;236;0
201601030500;4.2;96.4;0.8;216;0
201601030600;4.2;96.4;1.5;211;0
201601030700;4.2;96.4;1.4;207;0
201601030800;4.2;95.2;1.3;201;8
201601030900;4.4;95.7;1.7;208;19
201601031000;5.2;92.5;1.6;195;196
201601031100;6.0;82.1;2.6;196;33
201601031200;5.8;80.7;2.4;207;53
201601031300;6.0;71.9;2.1;211;26
201601031400;5.9;73.6;1.4;178;18
201601031500;5.2;76.1;1.6;162;6
201601031600;3.5;85.8;1.4;148;0
201601031700;2.8;88.3;1.5;154;0
201601031800;2.3;88.4;1.7;147;0
201601031900;2.1;91.2;2.1;137;0
201601032000;2.5;88.8;2.0;154;0
201601032100;2.4;89.0;2.8;130;0
201601032200;2.6;88.5;2.5;123;0
201601032300;1.9;92.3;2.7;129;0
201601040000;1.5;94.7;2.6;133;0
201601040100;1.2;94.5;2.8;137;0
201601040200;1.3;94.6;3.4;168;0
201601040300;1.6;93.4;4.6;190;0
201601040400;1.9;93.7;3.1;209;0
201601040500;1.9;93.9;3.2;211;0
201601040600;2.1;93.5;3.5;232;0
201601040700;2.2;92.7;2.9;237;0
201601040800;2.4;93.2;3.7;251;12
201601040900;2.8;91.1;4.2;237;61
201601041000;3.7;88.5;4.1;236;208
201601041100;4.9;85.0;4.3;228;102
201601041200;5.6;82.6;4.6;226;31
201601041300;5.6;83.5;4.7;226;27
201601041400;5.1;83.5;4.9;222;37
201601041500;4.9;84.9;3.9;221;7
201601041600;4.3;86.7;2.9;233;0
201601041700;3.8;87.7;2.7;226;0
201601041800;2.4;91.2;2.5;221;0
201601041900;2.1;91.7;2.6;212;0
201601042000;1.6;92.5;2.2;207;0
201601042100;1.9;92.8;2.8;204;0
201601042200;2.2;91.2;2.8;207;0
201601042300;1.4;91.2;2.1;215;0
201601050000;0.8;92.8;1.8;212;0
201601050100;0.6;93.9;1.9;196;0
201601050200;1.2;92.4;1.7;164;0
201601050300;2.0;91.6;1.5;184;0
