time UTC [yyyymmddHHMM]; temperature [deg]; relative humidity [%]; wind speed [m/s]; wind direction [deg]; global radiation [W/m^2]
201601010000;3.8;97.6;1.9;267;0
201601010100;4.0;98.1;1.8;282;0
201601010200;3.9;98.8;2.2;291;0
201601010300;3.5;99.5;1.8;293;0
201601010400;3.0;99.7;2.0;284;0
201601010500;2.6;99.7;1.3;232;0
201601010600;1.1;99.8;1.4;240;0
201601010700;0.0;99.8;1.3;205;0
201601010800;-0.1;100.0;1.6;219;27
201601010900;0.3;99.7;1.3;161;131
201601011000;1.7;99.5;1.5;109;136
201601011100;3.7;97.8;1.2;126;271
201601011200;4.6;94.4;1.6;133;263
201601011300;4.1;99.4;1.8;103;179
201601011400;4.2;96.1;2.1;67;27
201601011500;3.3;100.0;1.8;96;8
201601011600;2.9;100.0;1.5;77;0
201601011700;2.6;100.0;2.9;73;0
201601011800;2.3;100.0;2.2;113;0
201601011900;2.0;100.0;2.5;116;0
201601012000;2.3;97.3;2.7;122;0
201601012100;2.4;97.7;2.4;127;0
201601012200;2.4;97.0;2.8;125;0
201601012300;1.7;99.1;3.0;133;0
201601020000;2.2;97.5;2.0;128;0
201601020100;2.2;96.6;3.1;127;0
201601020200;2.3;94.3;2.9;134;0
201601020300;1.9;96.1;2.4;137;0
201601020400;1.8;95.8;2.8;131;0
201601020500;2.3;95.6;3.2;144;0
201601020600;2.8;94.6;2.3;180;0
201601020700;2.8;95.8;2.4;189;0
201601020800;3.0;95.7;2.9;138;8
201601020900;3.3;95.5;3.0;122;19
201601021000;3.7;96.3;2.7;142;27
201601021100;4.2;96.9;2.5;128;31
201601021200;5.0;96.3;2.8;186;30
201601021300;5.4;96.0;2.4;220;25
201601021400;6.0;94.4;2.1;226;17
201601021500;5.9;96.9;2.2;284;6
201601021600;5.4;97.4;3.1;286;0
201601021700;5.3;97.5;2.5;275;0
201601021800;5.0;97.8;2.3;249;0
201601021900;4.8;97.9;1.9;240;0
201601022000;4.6;98.0;2.1;260;0
201601022100;4.4;97.9;1.9;270;0
201601022200;4.4;97.6;1.7;278;0
201601022300;4.2;97.4;1.4;256;0
201601030000;4.0;97.4;1.6;266;0
201601030100;3.8;95.7;1.5;243;0
201601030200;3.2;97.4;1.8;240;0
201601030300;3.7;97.1;1.4;222;0
201601030400;4.0;96.6;1.6;241;0
201601030500;3.9;96.9;1.1;219;0
201601030600;3.8;97.0;1.9;217;0
201601030700;3.8;97.1;1.8;211;0
201601030800;3.8;95.9;1.6;206;8
201601030900;4.0;96.4;2.1;210;20
201601031000;4.8;93.7;1.7;203;178
201601031100;5.5;83.4;2.9;201;32
201601031200;5.2;81.8;2.7;208;89
201601031300;5.5;73.8;2.5;210;26
201601031400;5.4;74.8;1.7;182;17
201601031500;4.6;77.9;2.0;163;6
201601031600;2.9;88.5;1.7;152;0
201601031700;2.3;90.4;1.9;157;0
201601031800;1.8;90.0;2.1;154;0
201601031900;1.7;92.6;2.6;149;0
201601032000;2.0;89.9;2.7;161;0
201601032100;2.1;90.1;3.3;136;0
201601032200;2.2;89.5;3.4;131;0
201601032300;1.5;93.2;3.5;137;0
201601040000;1.1;95.4;3.5;138;0
201601040100;0.8;95.2;3.6;143;0
201601040200;0.9;95.1;4.4;175;0
201601040300;1.2;94.2;5.8;195;0
201601040400;1.4;94.6;4.5;212;0
201601040500;1.4;94.9;3.9;214;0
201601040600;1.6;94.3;4.0;236;0
201601040700;1.7;93.6;3.5;241;0
201601040800;1.9;94.2;4.4;256;14
201601040900;2.2;92.5;4.9;242;62
201601041000;3.0;89.8;5.1;241;214
201601041100;4.4;85.9;5.1;233;71
201601041200;4.9;85.1;5.4;228;32
201601041300;5.0;85.8;5.6;227;27
201601041400;4.5;86.0;5.5;224;36
201601041500;4.3;87.4;4.5;224;7
201601041600;3.8;88.7;3.7;238;0
201601041700;3.3;89.6;3.5;229;0
201601041800;1.9;92.5;3.1;223;0
201601041900;1.7;92.7;3.3;214;0
201601042000;1.3;93.4;3.0;208;0
201601042100;1.6;93.8;3.4;207;0
201601042200;1.8;92.4;3.4;212;0
201601042300;0.9;92.4;2.7;215;0
201601050000;0.4;93.6;2.4;214;0
201601050100;0.1;94.5;2.6;196;0
201601050200;0.9;93.4;2.3;171;0
201601050300;1.7;92.4;1.9;188;0
201601050400;1.9;95.1;2.5;207;0
201601050500;1.8;94.7;2.6;215;0
201601050600;1.4;95.2;2.7;215;0
201601050700;1.1;95.2;2.8;221;0
201601050800;1.6;92.3;2.9;217;19
201601050900;2.5;91.3;3.2;226;28
201601051000;3.6;87.6;3.5;216;192
201601051100;4.5;85.9;3.7;213;61
201601051200;4.8;85.7;3.8;226;35
201601051300;4.9;86.1;4.1;226;166
201601051400;5.0;84.8;3.4;224;49
201601051500;4.8;83.9;3.5;211;6
201601051600;4.3;86.4;3.6;203;0
201601051700;4.1;88.5;3.2;224;0
201601051800;3.9;88.1;2.9;221;0
201601051900;3.7;88.0;3.9;230;0
201601052000;3.5;88.1;3.3;232;0
201601052100;2.9;90.3;3.1;229;0
201601052200;2.4;90.1;2.8;220;0
201601052300;2.8;90.0;2.8;216;0
201601060000;2.6;89.8;2.8;221;0
201601060100;2.3;90.9;2.6;221;0
201601060200;1.8;90.7;2.5;222;0
201601060300;1.7;91.6;2.6;215;0
201601060400;1.6;93.1;2.6;217;0
201601060500;2.0;91.6;2.0;207;0
201601060600;2.1;90.8;2.0;187;0
201601060700;2.1;90.6;2.5;191;0
201601060800;2.0;90.5;2.4;204;9
201601060900;2.6;89.9;2.0;208;19
201601061000;3.0;90.2;1.9;214;28
201601061100;3.2;91.1;2.6;217;32
201601061200;3.4;89.7;2.9;238;31
201601061300;3.8;88.9;3.2;243;26
201601061400;3.7;89.3;3.0;249;18
201601061500;3.5;90.4;2.5;252;6
201601061600;3.2;92.4;2.4;245;0
201601061700;2.7;94.0;2.3;241;0
201601061800;2.3;95.3;1.7;232;0
201601061900;2.0;95.9;1.6;216;0
201601062000;1.7;96.0;1.5;196;0
201601062100;1.7;95.9;1.3;216;0
201601062200;1.9;95.9;1.5;208;0
201601062300;2.1;96.7;1.7;222;0
201601070000;2.1;96.5;2.3;221;0
201601070100;2.1;95.6;1.9;226;0
201601070200;1.4;96.7;2.1;223;0
201601070300;1.5;96.6;1.6;222;0
201601070400;0.8;96.6;1.8;188;0
201601070500;1.2;96.5;2.4;162;0
201601070600;1.0;95.7;2.2;152;0
201601070700;1.0;95.1;2.4;148;0
201601070800;1.1;94.9;3.1;166;24
201601070900;1.5;93.7;2.8;166;90
201601071000;2.7;89.0;3.8;152;27
201601071100;3.1;88.3;4.1;152;31
201601071200;3.2;87.7;3.4;156;31
201601071300;2.5;88.9;4.5;160;26
201601071400;1.7;93.0;5.3;162;18
201601071500;1.6;93.8;5.1;190;7
201601071600;2.1;93.6;5.3;223;0
201601071700;2.4;93.5;5.3;247;0
201601071800;3.1;93.3;4.4;251;0
201601071900;4.7;84.3;6.4;254;0
201601072000;4.9;79.8;6.8;256;0
201601072100;4.2;78.2;7.1;258;0
201601072200;3.9;80.4;6.8;248;0
201601072300;3.5;84.0;5.7;246;0
201601080000;4.4;79.0;5.2;248;0
201601080100;4.3;80.0;4.7;253;0
201601080200;3.9;79.5;4.3;235;0
201601080300;3.6;79.7;4.1;238;0
201601080400;3.8;79.0;4.3;247;0
201601080500;3.9;75.0;3.7;245;0
201601080600;2.2;85.5;4.0;240;0
201601080700;1.1;90.9;4.0;246;0
201601080800;0.8;93.1;2.9;216;49
201601080900;2.3;91.2;2.4;232;177
201601081000;3.6;84.8;1.6;233;32
201601081100;4.1;84.6;1.5;169;32
201601081200;4.9;82.0;3.0;137;31
201601081300;5.1;81.3;1.9;151;26
201601081400;5.2;81.2;1.9;136;18
201601081500;4.8;85.1;0.9;141;7
201601081600;3.9;88.1;1.7;142;0
201601081700;3.8;87.7;1.8;142;0
201601081800;3.6;89.1;2.3;165;0
201601081900;3.3;90.4;2.3;164;0
201601082000;3.2;91.5;2.1;188;0
201601082100;3.1;93.0;1.4;195;0
201601082200;2.9;94.7;1.4;203;0
201601082300;2.8;94.7;1.3;251;0
201601090000;2.1;96.3;1.2;290;0
201601090100;2.1;97.2;1.3;244;0
201601090200;2.3;97.2;1.0;5;0
201601090300;2.6;97.2;0.5;167;0
201601090400;2.7;97.1;0.4;182;0
201601090500;2.8;96.9;0.3;152;0
201601090600;3.1;96.9;0.7;168;0
201601090700;3.0;97.2;1.2;142;0
201601090800;2.9;97.6;0.7;149;9
201601090900;3.4;97.7;0.8;165;20
201601091000;4.3;97.1;2.1;207;28
201601091100;5.0;95.0;2.4;217;32
201601091200;5.2;95.2;2.2;227;31
201601091300;5.9;93.9;2.7;226;27
201601091400;6.3;92.7;3.0;218;18
201601091500;6.5;91.5;2.9;218;7
201601091600;6.0;93.1;2.3;217;0
