time UTC [yyyymmddHHMM]; temperature [deg]; relative humidity [%]; wind speed [m/s]; wind direction [deg]; global radiation [W/m^2]
201601010000;3.8;97.8;1.7;266;0
201601010100;4.0;98.3;1.6;280;0
201601010200;3.9;98.9;2.1;290;0
201601010300;3.5;99.6;1.7;294;0
201601010400;3.1;99.8;1.9;284;0
201601010500;2.7;99.7;1.2;230;0
201601010600;1.2;99.9;1.3;239;0
201601010700;0.2;100.0;1.3;204;0
201601010800;0.1;100.0;1.6;222;27
201601010900;0.5;99.8;1.2;160;143
201601011000;1.8;99.6;1.5;106;126
201601011100;3.7;97.8;1.1;125;270
201601011200;4.6;94.9;1.5;133;261
201601011300;4.1;99.6;1.7;99;165
201601011400;4.3;96.7;2.0;65;31
201601011500;3.4;100.0;1.7;93;8
201601011600;3.0;100.0;1.4;76;0
201601011700;2.7;100.0;2.7;73;0
201601011800;2.4;100.0;2.1;113;0
201601011900;2.1;100.0;2.3;116;0
201601012000;2.4;97.3;2.5;122;0
201601012100;2.6;97.6;2.2;127;0
201601012200;2.5;97.0;2.6;123;0
201601012300;1.8;99.2;2.8;131;0
201601020000;2.4;97.5;1.8;127;0
201601020100;2.3;96.7;2.9;126;0
201601020200;2.5;94.3;2.8;131;0
201601020300;2.0;96.2;2.2;134;0
201601020400;1.9;96.0;2.6;128;0
201601020500;2.4;95.7;3.0;142;0
201601020600;2.9;94.7;2.0;176;0
201601020700;2.9;95.8;2.1;185;0
201601020800;3.1;95.7;2.7;136;8
201601020900;3.5;95.4;2.8;117;19
201601021000;3.8;96.3;2.5;135;27
201601021100;4.3;96.8;2.3;118;31
201601021200;5.1;96.2;2.6;173;30
201601021300;5.6;95.8;2.3;191;25
201601021400;6.1;94.1;1.9;216;17
201601021500;6.0;96.7;2.1;285;6
201601021600;5.5;97.2;2.9;285;0
201601021700;5.4;97.3;2.2;274;0
201601021800;5.1;97.6;2.0;241;0
201601021900;4.9;97.8;1.7;231;0
201601022000;4.7;97.9;1.9;259;0
201601022100;4.5;97.8;1.6;270;0
201601022200;4.6;97.5;1.5;277;0
201601022300;4.4;97.3;1.2;254;0
201601030000;4.1;97.3;1.3;266;0
201601030100;3.9;95.6;1.3;243;0
201601030200;3.3;97.2;1.6;239;0
201601030300;3.9;96.9;1.2;221;0
201601030400;4.1;96.5;1.4;238;0
201601030500;4.1;96.7;0.9;217;0
201601030600;4.0;96.8;1.7;214;0
201601030700;4.0;96.8;1.6;209;0
201601030800;4.0;95.7;1.4;204;8
201601030900;4.2;96.2;1.9;209;19
201601031000;5.0;93.3;1.6;199;190
201601031100;5.7;83.0;2.8;198;32
201601031200;5.5;81.5;2.5;208;72
201601031300;5.7;73.1;2.3;210;26
201601031400;5.6;74.4;1.5;180;18
201601031500;4.9;77.3;1.8;162;6
201601031600;3.1;87.6;1.5;150;0
201601031700;2.5;89.7;1.7;156;0
201601031800;2.0;89.5;1.9;151;0
201601031900;1.9;92.1;2.4;143;0
201601032000;2.2;89.5;2.4;158;0
201601032100;2.2;89.7;3.1;133;0
201601032200;2.4;89.1;3.1;127;0
201601032300;1.7;92.8;3.1;133;0
201601040000;1.3;95.1;3.1;136;0
201601040100;1.0;94.9;3.2;140;0
201601040200;1.0;95.0;4.0;172;0
201601040300;1.4;93.9;5.4;192;0
201601040400;1.6;94.3;4.0;210;0
201601040500;1.6;94.6;3.5;212;0
201601040600;1.8;94.0;3.6;234;0
201601040700;1.9;93.3;3.2;239;0
201601040800;2.1;93.9;4.0;254;14
201601040900;2.4;92.0;4.6;239;67
201601041000;3.3;89.3;4.8;239;218
201601041100;4.6;85.6;4.8;231;78
201601041200;5.2;84.2;5.2;227;31
201601041300;5.2;85.0;5.3;227;27
201601041400;4.8;85.1;5.3;223;40
201601041500;4.5;86.5;4.2;223;7
201601041600;4.0;88.1;3.4;235;0
201601041700;3.5;89.0;3.2;227;0
201601041800;2.1;92.1;2.8;222;0
201601041900;1.9;92.4;3.0;213;0
201601042000;1.4;93.2;2.6;208;0
201601042100;1.7;93.5;3.2;206;0
201601042200;2.0;92.0;3.2;210;0
201601042300;1.1;92.0;2.4;215;0
201601050000;0.6;93.4;2.2;213;0
201601050100;0.3;94.3;2.3;196;0
201601050200;1.0;93.1;2.1;167;0
201601050300;1.9;92.2;1.7;186;0
201601050400;2.1;94.9;2.3;207;0
201601050500;1.9;94.5;2.3;211;0
201601050600;1.6;95.1;2.5;213;0
201601050700;1.2;95.1;2.5;217;0
201601050800;1.7;92.3;2.6;213;20
201601050900;2.7;91.2;2.9;220;30
201601051000;3.8;87.1;3.3;214;200
201601051100;4.7;85.2;3.4;211;68
201601051200;5.0;85.0;3.5;223;36
201601051300;5.1;85.2;3.8;224;181
201601051400;5.2;84.0;3.1;223;51
201601051500;5.0;83.0;3.2;209;6
201601051600;4.5;85.7;3.3;200;0
201601051700;4.3;87.9;2.9;221;0
201601051800;4.1;87.7;2.6;217;0
201601051900;3.9;87.5;3.7;229;0
201601052000;3.7;87.6;3.0;229;0
201601052100;3.1;89.8;2.8;229;0
201601052200;2.6;89.6;2.5;218;0
201601052300;3.0;89.4;2.6;215;0
201601060000;2.8;89.3;2.5;219;0
201601060100;2.5;90.5;2.4;219;0
201601060200;1.9;90.3;2.3;221;0
201601060300;1.9;91.2;2.4;213;0
201601060400;1.7;92.8;2.4;217;0
201601060500;2.1;91.3;1.7;206;0
201601060600;2.2;90.6;1.8;185;0
201601060700;2.3;90.3;2.3;190;0
201601060800;2.2;90.0;2.2;202;9
201601060900;2.7;89.4;1.8;205;19
201601061000;3.3;89.5;1.7;211;27
201601061100;3.4;90.6;2.4;214;32
201601061200;3.6;89.0;2.7;235;31
201601061300;4.0;88.3;3.0;241;26
201601061400;3.9;88.9;2.8;247;18
201601061500;3.7;89.8;2.4;250;6
201601061600;3.4;91.8;2.3;243;0
201601061700;2.9;93.6;2.1;240;0
201601061800;2.5;95.0;1.6;226;0
201601061900;2.1;95.6;1.4;210;0
201601062000;1.8;95.7;1.3;194;0
201601062100;1.8;95.7;1.1;215;0
201601062200;2.0;95.7;1.3;205;0
201601062300;2.2;96.5;1.5;219;0
201601070000;2.3;96.4;2.1;219;0
201601070100;2.3;95.4;1.7;224;0
201601070200;1.6;96.5;1.9;220;0
201601070300;1.6;96.4;1.4;217;0
201601070400;1.0;96.6;1.6;185;0
201601070500;1.3;96.3;2.2;157;0
201601070600;1.1;95.6;2.0;152;0
201601070700;1.2;94.9;2.2;147;0
201601070800;1.2;94.6;2.9;166;24
201601070900;1.5;93.5;2.6;165;105
201601071000;2.9;88.7;3.6;151;27
201601071100;3.3;87.8;3.7;151;31
201601071200;3.4;87.0;3.1;157;31
201601071300;2.8;88.3;4.0;160;26
201601071400;2.0;92.5;4.9;160;18
201601071500;1.8;93.4;4.6;185;7
201601071600;2.3;93.2;4.8;218;0
201601071700;2.6;93.2;4.8;245;0
201601071800;3.2;93.1;3.8;248;0
201601071900;4.9;83.9;6.0;253;0
201601072000;5.1;79.3;6.4;254;0
201601072100;4.5;77.6;6.8;257;0
201601072200;4.1;79.7;6.5;247;0
201601072300;3.7;83.9;5.5;244;0
201601080000;4.5;78.7;4.9;245;0
201601080100;4.4;79.6;4.4;251;0
201601080200;4.1;79.2;4.0;231;0
201601080300;3.7;79.5;3.8;235;0
201601080400;3.9;78.7;4.0;244;0
201601080500;4.1;74.8;3.5;244;0
201601080600;2.3;85.3;3.7;238;0
201601080700;1.3;90.6;3.7;245;0
201601080800;1.0;92.8;2.7;213;50
201601080900;2.6;90.7;2.2;227;178
201601081000;3.8;83.8;1.4;223;33
201601081100;4.3;83.8;1.3;170;32
