time UTC [yyyymmddHHMM]; temperature [deg]; relative humidity [%]; wind speed [m/s]; wind direction [deg]; global radiation [W/m^2]
201601081200;5.1;81.3;2.9;140;31
201601081300;5.4;80.5;1.8;153;26
201601081400;5.4;80.5;1.8;137;18
201601081500;5.0;84.5;0.8;142;7
201601081600;4.1;87.6;1.7;142;0
201601081700;3.9;87.5;1.7;142;0
201601081800;3.8;88.8;2.1;166;0
201601081900;3.4;90.1;2.1;165;0
201601082000;3.3;91.2;1.9;187;0
201601082100;3.2;92.9;1.2;195;0
201601082200;3.0;94.7;1.2;201;0
201601082300;2.9;94.9;1.1;254;0
201601090000;2.2;96.4;1.0;290;0
201601090100;2.2;97.4;1.1;243;0
201601090200;2.4;97.3;0.8;9;0
201601090300;2.7;97.4;0.4;164;0
201601090400;2.8;97.2;0.3;179;0
201601090500;2.9;96.9;0.3;147;0
201601090600;3.2;96.9;0.6;169;0
201601090700;3.1;97.3;1.0;140;0
201601090800;3.0;97.7;0.5;146;9
201601090900;3.4;97.8;0.7;157;20
201601091000;4.4;97.1;1.9;205;28
201601091100;5.1;94.8;2.2;214;32
201601091200;5.3;95.0;2.0;224;31
201601091300;6.1;93.6;2.5;224;27
201601091400;6.5;92.3;2.7;214;18
201601091500;6.7;91.1;2.6;216;7
201601091600;6.2;92.8;2.1;213;0
201601091700;5.7;94.3;2.2;223;0
201601091800;5.6;95.1;2.1;215;0
201601091900;4.1;95.8;2.2;181;0
201601092000;3.7;96.7;1.3;181;0
201601092100;3.0;96.0;2.3;164;0
201601092200;3.3;95.7;2.3;214;0
201601092300;3.4;95.8;2.1;190;0
201601100000;3.6;94.8;2.5;180;0
201601100100;3.8;95.5;2.5;175;0
201601100200;3.5;97.0;2.8;175;0
201601100300;3.8;96.8;2.4;194;0
201601100400;4.6;92.4;2.6;197;0
201601100500;4.0;92.4;2.3;202;0
201601100600;5.1;88.6;3.8;235;0
201601100700;4.6;89.9;4.1;217;0
201601100800;4.8;91.0;4.4;206;9
201601100900;5.1;86.8;4.0;210;20
201601101000;5.3;85.7;5.0;208;28
201601101100;5.7;84.9;4.0;213;32
201601101200;6.2;83.2;4.2;212;32
201601101300;6.4;82.2;3.2;213;27
201601101400;6.3;82.5;3.3;181;18
201601101500;5.8;84.3;3.3;175;7
201601101600;5.2;87.4;3.0;164;0
201601101700;4.4;90.9;3.8;173;0
201601101800;4.1;89.5;4.4;198;0
201601101900;3.7;91.8;4.7;199;0
201601102000;3.8;91.9;3.2;201;0
201601102100;3.9;93.0;3.4;225;0
201601102200;4.1;92.6;3.8;221;0
201601102300;4.2;92.1;3.2;223;0
201601110000;3.8;92.6;3.2;216;0
201601110100;4.1;91.7;2.8;201;0
201601110200;3.9;91.5;2.2;198;0
201601110300;3.9;92.1;2.5;194;0
201601110400;4.0;91.0;2.7;179;0
201601110500;3.7;93.0;3.4;159;0
201601110600;2.7;93.0;2.3;152;0
201601110700;2.1;94.4;1.7;156;0
201601110800;1.1;95.4;3.3;170;9
201601110900;0.9;96.1;3.0;169;20
201601111000;1.1;95.9;3.1;216;28
201601111100;2.1;94.9;3.6;223;33
201601111200;2.4;93.1;4.3;223;32
201601111300;3.4;91.5;3.7;228;27
201601111400;4.1;90.2;5.2;213;19
201601111500;4.6;87.1;5.5;203;7
201601111600;4.7;84.3;7.2;224;0
201601111700;4.6;81.5;5.5;226;0
201601111800;4.3;85.5;4.8;226;0
201601111900;4.1;86.8;6.1;224;0
201601112000;3.9;87.7;7.2;226;0
201601112100;3.3;89.1;7.2;234;0
201601112200;3.1;89.0;7.0;228;0
201601112300;3.3;86.5;6.1;222;0
201601120000;3.1;88.1;5.3;224;0
201601120100;3.3;88.1;5.3;220;0
201601120200;3.1;89.8;6.9;227;0
201601120300;3.4;87.3;7.0;228;0
201601120400;3.3;86.6;7.0;234;0
201601120500;3.2;87.6;7.6;234;0
201601120600;3.1;87.5;5.4;245;0
201601120700;2.6;89.8;5.3;248;0
201601120800;2.6;89.3;5.3;237;10
201601120900;3.1;86.7;6.0;238;30
201601121000;3.3;86.7;7.1;238;235
201601121100;4.2;85.2;7.0;244;252
201601121200;4.8;81.9;6.7;241;100
201601121300;4.5;85.4;6.5;243;154
201601121400;4.6;84.1;6.8;236;21
201601121500;3.6;89.9;6.0;240;8
201601121600;3.0;90.1;5.9;233;0
201601121700;2.9;89.6;5.6;233;0
201601121800;3.3;87.6;5.8;239;0
201601121900;2.7;88.7;5.3;242;0
201601122000;2.4;86.2;5.2;245;0
201601122100;2.1;83.3;5.2;240;0
201601122200;2.1;85.4;6.3;243;0
201601122300;2.0;85.3;6.4;239;0
201601130000;1.9;84.7;6.8;237;0
201601130100;2.1;83.4;6.4;227;0
201601130200;1.8;86.8;6.7;236;0
201601130300;1.3;93.3;7.1;236;0
201601130400;1.7;91.3;7.8;235;0
201601130500;1.6;92.2;8.9;234;0
201601130600;1.6;92.6;8.2;238;0
201601130700;1.8;91.6;8.6;243;0
201601130800;1.9;91.3;9.3;245;10
201601130900;1.7;93.0;8.9;248;21
201601131000;2.3;89.4;8.9;248;46
201601131100;2.6;87.7;8.3;243;136
201601131200;2.7;88.1;8.2;252;95
201601131300;2.8;86.8;6.8;248;28
201601131400;2.4;89.2;6.2;248;19
201601131500;1.9;93.7;6.1;243;8
201601131600;1.8;93.3;6.0;240;0
201601131700;1.6;93.5;5.2;239;0
201601131800;1.5;92.5;5.0;243;0
201601131900;1.4;89.4;5.2;239;0
201601132000;0.9;88.0;4.1;229;0
201601132100;0.8;89.8;3.8;231;0
201601132200;0.8;90.2;3.1;228;0
201601132300;0.3;91.5;2.8;222;0
201601140000;-0.0;92.4;1.9;229;0
201601140100;0.3;90.4;1.7;233;0
201601140200;-0.2;92.3;1.9;218;0
201601140300;-0.8;93.1;2.0;228;0
201601140400;-1.3;93.2;1.7;204;0
201601140500;-1.2;92.5;1.9;168;0
201601140600;-1.8;93.3;1.7;177;0
201601140700;-1.9;92.7;2.0;172;0
201601140800;-2.0;92.6;2.1;186;89
201601140900;-1.1;89.4;2.0;166;194
201601141000;0.3;82.0;2.2;170;268
201601141100;1.6;74.7;3.6;172;306
201601141200;2.4;70.5;2.6;158;302
201601141300;2.7;67.2;3.4;168;252
201601141400;2.9;64.1;3.7;190;19
201601141500;1.9;70.3;2.9;220;8
201601141600;1.2;76.1;4.1;219;0
201601141700;1.0;80.1;4.8;229;0
201601141800;0.6;91.6;4.4;240;0
201601141900;0.5;93.6;5.2;244;0
201601142000;0.9;88.1;4.5;243;0
201601142100;0.7;88.5;4.4;240;0
201601142200;0.6;88.0;6.2;248;0
201601142300;0.4;90.9;6.2;245;0
201601150000;0.5;90.5;5.1;229;0
201601150100;0.3;90.8;5.3;240;0
201601150200;-0.2;96.6;5.6;241;0
201601150300;-0.1;90.8;6.4;247;0
201601150400;-0.9;81.1;7.1;242;0
201601150500;-0.9;81.5;7.6;237;0
201601150600;-1.3;89.7;7.3;236;0
201601150700;-1.5;94.5;7.3;233;0
201601150800;-1.3;96.1;7.5;238;10
201601150900;-1.1;93.4;7.9;241;21
201601151000;-0.7;86.4;8.5;242;29
201601151100;-0.9;86.9;8.2;245;33
201601151200;-1.4;91.3;7.4;243;33
201601151300;-1.0;89.4;9.1;246;28
201601151400;-0.7;87.1;8.6;247;19
201601151500;-0.9;90.7;8.6;246;8
201601151600;-0.6;88.1;7.3;246;0
201601151700;-1.0;94.1;6.1;238;0
201601151800;-0.8;91.9;5.6;243;0
201601151900;-0.7;91.2;5.9;247;0
201601152000;-0.8;91.8;4.7;254;0
201601152100;-0.8;93.3;3.9;254;0
201601152200;-0.8;94.0;4.1;273;0
201601152300;-0.8;94.6;3.9;283;0
201601160000;-0.7;94.3;3.0;286;0
201601160100;-0.7;95.0;2.8;293;0
201601160200;-0.7;93.4;3.5;299;0
201601160300;-0.8;93.1;3.2;313;0
201601160400;-0.8;92.8;2.7;290;0
201601160500;-1.1;93.0;3.0;306;0
201601160600;-1.1;92.9;3.2;313;0
201601160700;-1.6;93.8;1.9;291;0
201601160800;-1.7;94.1;2.3;282;13
201601160900;-1.2;93.2;1.9;284;26
201601161000;-1.1;89.3;2.2;266;31
201601161100;-0.3;84.3;3.0;261;34
201601161200;0.0;81.2;4.0;259;33
201601161300;-0.1;82.3;4.2;250;28
201601161400;-0.6;92.1;5.6;250;20
201601161500;-0.4;90.7;5.8;248;13
201601161600;-0.4;89.0;6.5;256;0
201601161700;-0.8;83.7;6.7;261;0
201601161800;-0.7;83.2;6.2;256;0
201601161900;-0.7;84.1;7.0;266;0
201601162000;-1.0;78.6;6.3;274;0
201601162100;-1.3;78.7;5.5;270;0
201601162200;-1.4;81.3;5.1;268;0
201601162300;-1.6;82.3;4.8;273;0
201601170000;-2.1;86.0;3.9;265;0
201601170100;-2.0;84.8;3.7;261;0
201601170200;-2.0;88.2;5.4;265;0
201601170300;-2.0;91.6;4.9;264;0
201601170400;-2.4;95.0;4.0;256;0
201601170500;-2.5;97.2;3.9;254;0
201601170600;-2.2;94.6;3.6;259;0
201601170700;-2.1;92.2;3.9;264;0
201601170800;-2.2;87.6;4.7;273;22
201601170900;-2.5;92.2;6.3;297;28
201601171000;-2.5;85.6;6.2;297;30
201601171100;-2.5;88.4;5.8;310;37
201601171200;-2.4;80.4;4.5;310;35
201601171300;-2.6;79.6;4.8;306;38
201601171400;-2.7;88.3;3.3;322;35
201601171500;-3.5;89.3;3.1;304;35
201601171600;-4.1;93.2;2.8;311;0
201601171700;-4.3;94.5;2.6;293;0
201601171800;-4.0;92.3;1.9;305;0
201601171900;-4.7;90.9;1.0;331;0
201601172000;-5.1;94.8;1.0;349;0
201601172100;-5.2;94.9;0.9;38;0
201601172200;-6.3;97.6;0.5;152;0
201601172300;-7.0;95.4;1.1;44;0
201601180000;-6.6;94.5;0.6;333;0
201601180100;-6.8;95.4;0.8;144;0
201601180200;-6.4;92.3;1.0;145;0
201601180300;-6.0;92.5;1.2;112;0
201601180400;-7.1;93.1;1.7;125;0
201601180500;-7.6;94.5;1.3;103;0
201601180600;-10.1;99.0;0.8;100;0
201601180700;-11.2;100.0;1.6;99;0
201601180800;-11.5;100.0;2.3;124;37
201601180900;-9.3;93.3;3.0;102;204
201601181000;-7.8;90.5;2.4;102;267
201601181100;-6.7;87.7;2.0;93;237
201601181200;-5.5;77.0;3.0;97;144
201601181300;-5.1;77.4;3.2;96;124
201601181400;-5.0;76.1;2.8;90;161
201601181500;-5.7;79.5;2.9;92;9
201601181600;-7.7;87.0;3.3;94;0
201601181700;-8.3;90.0;2.2;115;0
201601181800;-9.9;95.0;2.0;121;0
201601181900;-9.5;94.5;2.0;112;0
201601182000;-10.4;98.4;2.6;122;0
201601182100;-11.1;100.0;2.4;125;0
201601182200;-11.9;100.0;2.1;90;0
201601182300;-12.0;100.0;1.8;95;0
201601190000;-12.7;100.0;2.0;188;0
201601190100;-12.0;100.0;1.8;209;0
201601190200;-12.2;100.0;1.7;248;0
201601190300;-11.6;100.0;1.3;254;0
201601190400;-10.8;97.8;1.6;244;0
201601190500;-9.9;94.1;1.5;73;0
201601190600;-8.9;93.4;0.9;11;0
201601190700;-7.8;94.0;1.2;70;0
201601190800;-7.2;93.9;1.6;244;31
201601190900;-6.2;94.3;1.3;265;24
201601191000;-5.6;93.2;1.9;80;31
201601191100;-4.6;92.2;1.4;178;35
201601191200;-3.5;86.3;1.0;235;34
201601191300;-2.7;79.8;1.2;255;30
201601191400;-1.9;80.2;1.4;268;122
201601191500;-2.4;83.3;1.3;287;10
201601191600;-3.2;86.4;1.4;327;0
201601191700;-3.2;88.3;1.4;290;0
201601191800;-3.5;88.0;1.3;296;0
201601191900;-3.5;89.1;1.1;292;0
201601192000;-3.5;90.6;1.5;336;0
201601192100;-3.8;92.8;1.4;321;0
201601192200;-4.5;94.4;1.2;313;0
201601192300;-4.3;94.2;1.4;311;0
201601200000;-6.6;95.1;1.1;341;0
201601200100;-6.4;96.7;1.3;303;0
201601200200;-6.6;96.4;1.1;320;0
201601200300;-7.0;96.4;1.1;331;0
201601200400;-8.2;97.3;0.6;16;0
201601200500;-8.5;96.6;1.3;268;0
201601200600;-6.6;97.0;1.0;359;0
201601200700;-7.7;95.4;1.2;17;0
201601200800;-7.6;95.8;1.1;75;36
201601200900;-6.4;95.3;0.9;83;200
201601201000;-5.4;93.6;1.0;66;209
201601201100;-4.2;91.6;0.9;47;310
201601201200;-2.9;86.3;1.1;106;310
201601201300;-2.4;85.0;1.0;70;268
201601201400;-1.7;76.9;1.3;33;193
201601201500;-2.5;81.6;1.2;114;77
201601201600;-3.7;87.4;1.0;33;0
201601201700;-5.0;92.5;1.4;267;0
201601201800;-4.3;90.9;1.2;239;0
201601201900;-5.2;90.9;1.0;313;0
201601202000;-5.5;91.4;1.4;354;0
201601202100;-5.3;92.5;1.7;274;0
201601202200;-4.9;92.8;1.0;267;0
201601202300;-4.7;94.7;1.9;298;0
201601210000;-4.5;94.3;2.0;212;0
201601210100;-4.3;92.9;2.0;256;0
201601210200;-4.4;93.1;1.4;246;0
201601210300;-4.8;93.7;1.2;257;0
201601210400;-4.4;92.8;1.4;299;0
201601210500;-4.6;93.2;1.3;303;0
201601210600;-4.1;93.6;1.4;146;0
201601210700;-4.0;94.3;0.7;96;0
201601210800;-3.8;93.3;0.5;125;53
201601210900;-3.0;90.6;0.7;110;25
201601211000;-2.3;89.3;0.6;98;37
201601211100;-0.7;81.5;1.2;66;95
201601211200;-0.4;81.6;1.2;74;304
201601211300;-0.2;79.8;1.8;67;267
201601211400;0.1;78.0;2.6;73;196
201601211500;-0.3;79.4;2.6;73;24
201601211600;-1.4;83.6;1.7;69;0
201601211700;-3.3;92.8;1.7;82;0
201601211800;-4.6;95.4;1.7;87;0
201601211900;-5.6;93.1;1.0;101;0
201601212000;-4.7;94.2;1.8;100;0
201601212100;-6.7;94.4;1.4;95;0
201601212200;-6.0;96.0;1.4;112;0
201601212300;-7.5;95.1;1.3;122;0
201601220000;-7.7;95.3;1.5;162;0
201601220100;-9.4;96.6;1.4;132;0
201601220200;-9.1;97.4;2.2;148;0
201601220300;-8.7;96.8;2.2;234;0
201601220400;-9.0;96.5;2.1;168;0
201601220500;-9.1;97.0;2.1;172;0
201601220600;-7.7;97.9;1.9;139;0
201601220700;-7.5;100.0;1.5;169;0
201601220800;-6.4;98.5;1.5;190;106
201601220900;-5.6;97.6;1.8;144;215
201601221000;-4.5;95.8;2.1;156;98
201601221100;-3.2;91.0;2.0;138;275
201601221200;-1.7;83.9;1.5;128;326
201601221300;-0.4;78.0;1.7;154;280
201601221400;0.2;78.0;1.6;147;199
201601221500;0.3;79.0;2.0;166;51
201601221600;-1.7;89.6;1.8;192;0
201601221700;-2.3;90.8;1.8;188;0
201601221800;-3.7;93.1;2.1;223;0
201601221900;-3.1;93.6;2.9;204;0
201601222000;-2.9;93.2;3.3;215;0
201601222100;-2.5;93.5;2.9;227;0
201601222200;-2.2;92.3;1.6;204;0
201601222300;-1.4;90.2;2.3;233;0
201601230000;-0.6;94.0;2.5;220;0
201601230100;0.4;95.2;3.3;220;0
201601230200;1.1;96.3;3.7;251;0
201601230300;1.7;96.4;3.8;234;0
201601230400;2.3;95.9;4.0;253;0
201601230500;3.3;94.8;5.5;257;0
201601230600;3.5;95.6;4.6;269;0
201601230700;3.7;95.8;5.2;256;0
201601230800;3.5;95.9;3.5;261;52
201601230900;3.7;93.0;3.9;259;47
201601231000;4.2;90.5;3.1;263;47
201601231100;4.3;89.0;3.3;266;40
201601231200;4.3;89.4;2.7;254;103
201601231300;4.4;88.3;3.4;247;33
201601231400;4.5;89.1;4.2;243;24
201601231500;4.7;87.4;3.6;253;32
201601231600;3.1;94.1;2.5;256;0
201601231700;2.4;97.0;3.3;267;0
201601231800;2.6;96.8;2.8;255;0
201601231900;2.1;97.5;1.5;208;0
201601232000;1.2;98.7;1.3;192;0
201601232100;0.5;99.0;1.1;202;0
201601232200;-0.4;100.0;1.4;217;0
201601232300;-0.9;100.0;1.0;221;0
201601240000;-0.9;100.0;1.6;207;0
201601240100;-1.5;100.0;1.2;176;0
201601240200;-2.6;100.0;1.0;240;0
201601240300;-2.6;100.0;1.4;179;0
201601240400;-3.4;100.0;1.4;219;0
201601240500;-2.7;100.0;1.9;239;0
201601240600;-2.4;100.0;1.3;204;0
201601240700;-2.0;100.0;1.2;232;0
201601240800;-1.6;99.9;2.1;225;13
201601240900;-0.5;99.6;2.0;200;24
201601241000;0.5;98.5;0.9;244;32
201601241100;1.8;96.1;1.2;255;36
201601241200;2.7;92.8;1.9;238;36
201601241300;3.9;86.2;2.1;232;35
201601241400;4.5;83.8;2.1;243;195
201601241500;5.0;80.6;1.5;261;20
201601241600;4.4;83.0;1.8;245;0
201601241700;3.7;84.1;1.8;245;0
201601241800;3.5;82.7;1.6;241;0
201601241900;3.9;80.6;1.8;222;0
201601242000;3.8;81.0;2.2;253;0
201601242100;3.1;87.1;1.9;252;0
201601242200;3.4;85.9;1.8;238;0
201601242300;2.6;87.1;1.6;252;0
201601250000;2.5;92.1;1.3;272;0
201601250100;2.7;90.8;1.3;229;0
201601250200;2.5;94.3;1.6;274;0
201601250300;2.1;95.2;1.5;217;0
201601250400;1.8;97.2;1.5;223;0
201601250500;1.6;97.9;1.4;285;0
201601250600;1.2;97.8;1.5;312;0
201601250700;0.6;97.8;1.7;213;0
201601250800;1.1;99.3;1.1;194;83
201601250900;2.9;91.8;1.0;142;197
201601251000;4.9;89.0;1.0;100;301
201601251100;7.8;73.6;1.4;75;340
201601251200;9.0;69.6;1.1;87;337
201601251300;9.6;64.0;1.6;183;291
201601251400;10.0;62.1;1.4;234;208
201601251500;9.6;69.2;1.4;189;87
201601251600;7.9;73.5;1.5;181;0
201601251700;6.4;75.6;1.6;216;0
201601251800;5.0;81.6;1.8;223;0
201601251900;4.3;80.0;2.1;224;0
201601252000;3.0;84.6;2.0;219;0
201601252100;3.1;85.0;1.9;227;0
201601252200;2.8;80.6;2.1;248;0
201601252300;3.0;77.9;2.1;255;0
201601260000;3.0;78.4;2.5;241;0
201601260100;3.2;75.0;1.7;251;0
201601260200;1.4;87.6;2.5;251;0
201601260300;1.5;87.2;2.0;269;0
201601260400;2.5;85.9;2.6;236;0
201601260500;4.1;76.1;2.2;220;0
201601260600;4.3;79.4;2.5;228;0
201601260700;3.8;83.7;1.7;211;0
201601260800;2.8;89.7;1.9;247;18
201601260900;5.3;81.5;2.1;223;215
201601261000;7.0;79.6;2.4;223;305
201601261100;10.2;67.7;3.2;214;344
201601261200;12.3;62.5;3.4;236;340
201601261300;13.7;58.1;3.9;241;294
201601261400;14.2;56.2;4.5;235;212
201601261500;13.4;58.1;4.1;224;93
201601261600;11.8;63.3;3.1;227;0
201601261700;9.8;70.2;3.7;247;0
201601261800;9.9;70.6;2.5;236;0
201601261900;9.4;72.3;2.7;236;0
201601262000;9.3;72.8;3.0;240;0
201601262100;8.2;77.1;3.0;226;0
201601262200;7.7;78.3;3.3;234;0
201601262300;7.0;80.6;3.3;244;0
201601270000;7.4;81.0;3.3;244;0
201601270100;6.7;82.6;3.9;234;0
201601270200;7.0;83.9;3.2;219;0
201601270300;7.9;82.0;3.6;231;0
201601270400;8.2;83.0;3.3;231;0
201601270500;8.0;84.5;4.1;243;0
201601270600;8.2;83.7;4.6;230;0
201601270700;8.4;83.7;4.4;213;1
201601270800;8.3;83.8;4.3;228;14
201601270900;8.7;82.0;4.0;224;25
201601271000;9.5;79.1;4.4;224;33
201601271100;10.8;72.7;4.6;226;38
201601271200;11.4;63.3;5.0;228;37
201601271300;11.1;67.5;4.5;223;32
201601271400;11.1;66.6;4.5;215;23
201601271500;10.8;66.6;4.2;234;11
201601271600;10.9;65.9;4.1;234;0
201601271700;11.0;65.3;3.5;235;0
201601271800;10.8;66.1;3.9;234;0
201601271900;11.4;62.2;3.8;241;0
201601272000;11.3;61.9;4.5;241;0
201601272100;11.8;59.2;3.8;241;0
201601272200;11.3;61.6;3.7;239;0
201601272300;10.0;67.5;3.5;234;0
201601280000;10.5;66.9;2.4;221;0
201601280100;10.5;66.1;3.4;233;0
